CUSTOMER_FREQUENCY,MONETARY_VALUE,CLUSTER,CUSTOMER_ID
-1.279353607699308,-1.354680665305972,1,118
-0.9731782440923165,-0.882621865061559,1,189
-1.053046824444825,-1.267852021360368,1,204
-1.6129634113491365,-1.0267430972882112,1,42
-1.6566055653523097,-1.7527842128564521,1,59
-1.3313041919420172,-1.5816216490623574,1,65
-0.5953659889009623,-0.09294752833010736,0,106
-0.9413996431883705,-1.223257249001189,1,219
-1.4939537126855817,-1.0873170169372095,1,222
-1.3270592438118767,-1.5798988135726098,1,22
0.09899275217179107,-0.14416656564589875,0,166
-1.332860220671304,-1.5969812666644403,1,176
-1.6375418814953866,-1.145706205707155,1,212
-1.9075272815516038,-1.666723980855425,1,217
-1.3116225484466921,-1.3871622263951975,1,224
-2.25817432782903,-1.663515918816821,1,226
-0.7989509368335949,-0.3990181889736784,0,233
-1.645553521514078,-1.663266926697806,1,405
-1.8231067871833952,-1.2339591397464311,1,649
-1.8345980805484776,-1.336053638153493,1,756
-1.5543827455657686,-1.13951499087373,1,343
-1.4717860271046512,-1.375968468061906,1,360
-1.1686692987164806,-0.9065325793465888,1,454
-1.7009981746281906,-1.7884413157834675,1,502
-0.5152328412658723,-1.0201356571251137,1,528
-1.9249268202416472,-1.3776126715490125,1,540
-1.258457244228668,-1.2087395766382367,1,632
-1.8244226278268123,-1.6012690662335427,1,332
-1.2142696321981847,-1.2091496749166286,1,354
-0.9873096984648281,-1.0258673635373243,1,485
-1.4784587192413026,-1.2106925367620631,1,499
-1.7031047492171443,-1.296913863944024,1,590
-2.1291127683714905,-1.7496806496519803,1,261
-0.9140449125191322,-0.17104658496025948,0,262
-1.584192991326468,-1.7400840350060425,1,308
-1.8191891562682434,-1.7327595222491836,1,416
-1.5304659056189878,-1.4789271811271607,1,419
-2.1215575493138554,-1.5783047286524123,1,466
-1.2414409889095441,-1.383033256650862,1,479
-1.2634004973498534,-1.2610269073659537,1,514
-1.6983917205101282,-1.5189556804791198,1,700
-2.0946168410026953,-1.6998243507585866,1,712
-1.6195701736581574,-2.213675762871318,1,350
-1.731019353438705,-1.2961296696141527,1,911
-1.5356762699389337,-1.566880379423118,1,939
-1.5874846068686523,-1.358271486126096,1,940
-1.637290033793698,-1.6306443932162646,1,1004
-0.7560870091880798,-0.41099968602223674,0,1059
-0.87464728266007,-0.47693313518308206,0,1156
-0.6569200687111663,-0.5379582661326341,0,1168
-1.4446579169683293,-1.2023369636026722,1,1217
-1.4302911503492906,-1.659988244666949,1,1289
-2.0234770730382485,-2.005377780968485,1,1413
-1.212360635099108,-0.9433040454676705,1,1415
-1.884163319387654,-1.7940393080085417,1,1640
-1.4571341298805864,-1.433157962546643,1,1679
-1.903807016133314,-1.5857057843041373,1,1778
-1.4474250617916775,-1.5394751735593142,1,777
-1.4193463749765924,-1.4167290147978504,1,816
-0.9809231968982771,-0.6794854497295247,1,821
-1.7889710359468969,-1.9375855090600873,1,1369
-1.1319677960207786,-1.108837554115858,1,1788
-1.0117433773819091,-0.2659673349833232,0,794
-1.218720425545783,-1.1601605902483798,1,828
-1.4310742525462912,-1.754384473558733,1,848
-1.6041023153197844,-1.1086189871229755,1,884
-1.2295615363341998,-1.5775690216524985,1,948
-1.4169056993961737,-1.7721027975693395,1,962
-0.2260856045868381,-0.44041496396720115,0,1042
-1.5327477984312547,-0.8418095911841449,1,1062
-2.3006566680477447,-2.2536461528762923,1,1092
-1.146993224937078,-1.1597377008732306,1,1099
-1.0573875934176953,-0.9098784401791159,1,1130
-1.58553808700594,-1.3611604958927637,1,1211
-1.3186484209461489,-1.1542941222371152,1,1226
-1.3718096972968903,-1.1933526614345245,1,1306
-1.09859776355406,-1.2870467641193333,1,1313
-1.6580121390060993,-2.150008499957271,1,1378
-1.67910883587581,-1.431888205069942,1,1403
-1.1192836179609154,-1.090888455347281,1,1482
-1.4360889473134943,-1.583195847686582,1,1515
-0.9418450405126529,-1.079730263963388,1,1590
-1.5096844423624174,-0.9806982357504823,1,1659
-2.074370236122691,-2.2647812918476036,1,1711
-1.609512165066741,-1.59845672815022,1,868
-1.6775617108531486,-1.5832557742877047,1,950
-1.914493160027847,-1.766158849321348,1,1096
-1.6942525568944173,-2.0142831731169846,1,1114
-1.3637013884634097,-1.1278965051908594,1,1139
-2.1197653603659825,-1.8157601021626963,1,1202
-1.7706391519773714,-1.8087598463394927,1,1216
-0.8806456250163589,-0.5377930291162047,0,1356
0.10419781666636423,-0.4550099120541913,0,1472
-2.123601797956432,-1.4071424971173947,1,1494
-1.3741204211591824,-1.4198963943717815,1,1497
-1.4172707513678127,-1.0344761842502785,1,1523
-1.5775660896810328,-1.876395779104378,1,1564
-2.0904106875942796,-2.195180363148904,1,1704
-1.5876200704051664,-1.406461429147792,1,1709
-2.527154669001658,-2.2920231203916153,1,1756
-0.5108255064863269,-1.0483971811161414,1,891
-1.4772887297921293,-1.062450387889295,1,1856
-0.39503958560019137,-0.3051426170154768,0,1925
-1.8779807551014263,-2.1131062474440934,1,1973
-1.6747928700856811,-1.7900515755775912,1,2021
-1.4836841350653058,-1.4373204859200122,1,2023
-2.0039881311934575,-1.7730709441290677,1,2603
-1.0998951608051817,-0.5946402932052202,1,2698
-1.9678704572607604,-1.605740538668177,1,2739
-1.5529288974696585,-1.6232087005732057,1,2745
-1.4379716572787251,-0.7132618720879458,1,2816
-1.7575731744976921,-1.295516223626371,1,2939
-1.4559732561310534,-1.891594130687967,1,3086
-1.261620603996844,-1.4089824911773996,1,3095
-0.982432375171273,-0.5147989903952938,1,3114
-1.9547760727170866,-2.007736249977006,1,3134
-1.4489957180389914,-1.4170501225960106,1,3189
-1.839272102540754,-1.8601342005670407,1,3325
-2.165284500522984,-2.241069721755729,1,3328
-1.3271798678373488,-1.1633881702789404,1,3616
-1.707228649335783,-1.6245508720381479,1,3620
-2.010524511821535,-1.95056537029126,1,3630
-2.0336896245375193,-2.075077204632689,1,3696
